name_prefix,name,ra,declination,discoverydate,reporters,Discovery_ADS_bibcode,iau_name,runcat_id,iau_name,last_obs
AT,2025kiw,308.006092,-44.052253,2025-05-11 07:52:18.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1749....1G,BGEM J203201.46-440308.1,54372564,BGEM J143841.72+030021.3,60382.30686403409
AT,2025mlj,219.673863,3.005936,2025-05-06 05:39:27.000,"S. Faris, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR2018....1F,BGEM J143841.72+030021.3,37970030,BGEM J033712.93-042807.7,60355.220387245514
AT,2025kyr,219.239788,-44.217531,2025-05-04 03:11:09.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1866....1G,BGEM J143657.54-441303.1,37497468,BGEM J030242.77-052408.9,60354.3058997751
AT,2025ipz,320.041383,-4.944964,2025-04-29 08:14:29.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1577....1S,BGEM J212009.93-045641.8,52590051,BGEM J133710.24-343103.6,60384.2434516974
AT,2025imz,160.215654,-46.8312,2025-04-26 02:30:54.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1563....1G,BGEM J104051.75-464952.3,33990431,BGEM J011925.80-332523.1,60341.27330904917
AT,2025ing,189.733213,-40.783667,2025-04-24 05:20:07.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1562....1P,BGEM J123855.97-404701.2,37071349,BGEM J032205.69-195729.8,60353.27080775966
AT,2025iod,198.926758,-4.625131,2025-04-22 04:46:04.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1578....1G,BGEM J131542.42-043730.4,45033174,BGEM J131114.84-340533.3,60372.270566202424
AT,2025hzm,202.591833,-22.437175,2025-04-22 02:30:55.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1483....1G,BGEM J133022.03-222613.8,26658252,BGEM J144245.10-245619.0,60318.27375078956
AT,2025ijd,208.292479,-33.034469,2025-04-22 02:17:59.000,"L. Landsberg, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1534....1L,BGEM J135310.19-330204.0,42128602,BGEM J081051.41-213821.1,60360.204646390805
AT,2025iay,126.49505,4.583222,2025-04-21 23:27:39.000,"S. Faris, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1484....1F,BGEM J082558.81+043459.6,44185240,BGEM J090908.75-130416.3,60369.13050349318
AT,2025hnw,204.292696,-34.517694,2025-04-17 03:44:31.000,"G. Ramsay, H. Tranin, F. Stoppa, D. Pieterse, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1424....1R,BGEM J133710.24-343103.6,33701443,BGEM J211429.99-232626.3,60339.36957417148
AT,2025hnj,180.420483,-3.767147,2025-04-17 00:25:56.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1409....1S,BGEM J120140.91-034601.7,44314700,BGEM J034653.06-674428.3,60369.28431773781
AT,2025hnd,301.409783,-53.372403,2025-04-16 08:24:42.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1410....1P,BGEM J200538.34-532220.6,56557197,BGEM J011014.08-302941.9,60387.247320573675
AT,2025gzs,225.546893049,-13.9240555735,2025-04-08 05:15:20.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1323....1S,BGEM J150211.27-135527.1,30636708,BGEM J020926.90-012625.1,60328.36542612437
SN,2025gzh,224.780733,15.710914,2025-04-08 05:13:02.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1323....1S,BGEM J145907.37+154239.2,31197277,BGEM J012725.37-015452.7,60331.08148078638
AT,2025guz,201.479008,-43.100942,2025-04-05 02:52:25.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1280....1G,BGEM J132554.96-430603.3,33478415,BGEM J222027.93-252314.0,60339.27328581142
AT,2025guk,289.162013,-60.441536,2025-04-04 09:00:39.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1279....1S,BGEM J191638.88-602629.5,47548897,BGEM J161107.37-602339.8,60378.094257733734
AT,2025gtd,126.218379,2.894328,2025-04-04 00:05:34.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1264....1G,BGEM J082452.41+025339.5,38464913,BGEM J023641.28-130807.3,60356.138266424525
SN,2025gkg,192.279667,-41.832322,2025-04-02 03:31:47.000,"G. Ramsay, H. Tranin, F. Stoppa, D. Pieterse, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1238....1R,BGEM J124907.12-414956.3,45118747,BGEM J064544.76-182904.5,60372.357436434846
AT,2025gpf,208.475292,5.249269,2025-03-31 06:59:02.000,"S. Faris, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1251....1F,BGEM J135354.06+051457.3,44634265,BGEM J061518.74-212929.2,60370.11267340265
AT,2025gpe,200.489962,-43.338819,2025-03-31 04:04:42.000,"S. Faris, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1251....1F,BGEM J132157.59-432019.7,38889278,BGEM J092118.74-261818.3,60356.2633829131
AT,2025eub,289.127854,-64.825911,2025-03-17 09:01:20.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1044....1S,BGEM J191630.68-644933.2,51045202,BGEM J191638.88-602629.5,60384.11522001603
AT,2025eez,146.623492,-31.678681,2025-03-12 00:50:41.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.964....1G,BGEM J094629.63-314043.2,44861567,BGEM J093351.09+205945.9,60372.04290036608
AT,2025eat,255.935267,-22.716747,2025-03-04 08:37:45.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.952....1S,BGEM J170344.46-224300.2,45053274,BGEM J133851.84-024114.4,60372.34070129623
AT,2025dia,221.815154,3.828792,2025-03-04 07:46:11.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.881....1S,BGEM J144715.63+034943.6,33584432,BGEM J013022.93+120724.3,60339.317251214525
AT,2025dhw,220.910296803,3.74882882283,2025-03-04 07:46:11.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.881....1S,BGEM J144338.47+034455.7,37499399,BGEM J034409.02-002125.5,60354.3058997751
AT,2025dhy,228.419588,-14.75015,2025-03-04 06:13:18.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.882....1P,BGEM J151340.70-144500.5,30609836,BGEM J204614.61-092908.9,60328.257001597085
SN,2025dhv,225.866248647,10.6035388653,2025-03-04 05:40:02.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.881....1S,BGEM J150327.87+103612.9,37259771,BGEM J012656.39-011911.7,60353.31973152631
AT,2025dhu,203.520442,-36.843139,2025-03-04 05:22:09.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.881....1S,BGEM J133404.90-365035.2,44119639,BGEM J055453.93-243407.2,60369.09324859017
SN,2025etc,169.148658,-3.697247,2025-03-04 03:37:47.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1022....1S,BGEM J111635.67-034150.0,30422309,BGEM J143047.61+032330.2,60328.175239473014
SN,2025dht,166.757292,3.960692,2025-03-04 03:31:02.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.881....1S,BGEM J110701.75+035738.4,31041575,BGEM J024157.29+021621.3,60330.207454891075
AT,2025etd,134.341476577,13.0935019512,2025-03-04 02:49:21.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1022....1S,BGEM J085722.00+130536.5,41936801,BGEM J050607.83-171215.1,60360.11996806782
AT,2025clt,242.780708,-60.394394,2025-02-23 07:49:32.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.735....1G,BGEM J161107.37-602339.8,30625203,BGEM J012014.46-080724.6,60328.307195445974
AT,2025hjn,185.285417,-64.106942,2025-02-23 07:17:46.000,"L. Landsberg, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR1372....1L,BGEM J122108.49-640624.9,30323033,BGEM J224647.45-651605.2,60328.06445459896
AT,2025clp,211.546425,-33.082319,2025-02-23 05:03:09.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.735....1G,BGEM J140611.14-330456.3,34686625,BGEM J200107.47+051523.7,60345.08053498581
AT,2025cls,148.102538,-60.8171,2025-02-23 01:22:11.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.735....1G,BGEM J095224.60-604901.5,36930564,BGEM J012147.74+004910.7,60353.16993900033
AT,2025cim,207.506209445,-32.112555714,2025-02-22 05:24:24.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.716....1G,BGEM J135001.47-320645.2,28250744,BGEM J130014.31-214751.3,60321.130760481465
AT,2025cin,201.112371,-47.698772,2025-02-22 05:07:36.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.716....1G,BGEM J132426.96-474155.5,33664317,BGEM J033432.50-261611.0,60339.350855877245
AT,2025cio,155.955321,-44.345319,2025-02-22 02:31:00.000,"P. Groot, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.716....1G,BGEM J102349.27-442043.1,28287666,BGEM J130625.88-060249.8,60321.12982336767
AT,2025cif,204.461221387,-30.7288897043,2025-02-21 07:18:53.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.715....1S,BGEM J133750.69-304344.5,30493524,BGEM J132850.13-232327.9,60328.14160038838
AT,2025cfb,157.382771,-39.842767,2025-02-21 02:31:56.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.701....1S,BGEM J102931.86-395033.9,43357138,BGEM J064422.12-101622.7,60366.234870512926
AT,2025bxq,175.507465998,7.90248316166,2025-02-18 05:46:49.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.654....1S,BGEM J114201.82+075408.8,38704534,BGEM J024240.07-152315.8,60356.20806548101
AT,2025azo,178.858346862,13.7160708277,2025-02-06 05:06:38.000,"S. Scaringi, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern",2025TNSTR.513....1S,BGEM J115526.02+134258.1,38468230,BGEM J030136.24-145320.8,60356.14092191888
AT,2025arf,115.564225,13.645542,2025-02-02 05:55:32.000,"H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.448....1T,BGEM J074215.41+133843.9,29684585,BGEM J191005.69-570820.3,60325.254601843895
SN,2025ard,119.264718495,22.5222172957,2025-02-02 05:22:15.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.447....1S,BGEM J075703.53+223119.7,34531831,BGEM J191109.46-565622.4,60344.06322349293
AT,2025asv,91.531171,-2.390517,2025-02-02 03:17:14.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.458....1P,BGEM J060607.48-022325.8,30490779,BGEM J130333.42-295102.0,60328.14160038838
AT,2025aua,244.530892,-30.301419,2025-02-01 08:56:19.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.458....1P,BGEM J161807.41-301805.1,30618630,BGEM J002938.03-025856.5,60328.28982175904
AT,2025apz,243.151979,-1.698392,2025-02-01 08:48:19.000,"H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.439....1T,BGEM J161236.47-014154.2,44798158,BGEM J113253.43-035646.6,60370.34552377004
SN,2025arc,202.332033,-47.098703,2025-02-01 08:18:01.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.447....1S,BGEM J132919.68-470555.3,45380156,BGEM J150052.05-251228.0,60374.26712191875
AT,2025apy,182.500149186,3.79952489478,2025-02-01 08:04:23.000,"H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.439....1T,BGEM J121000.05+034758.4,44388124,BGEM J053913.44-672212.4,60369.34361081809
AT,2025apx,127.771902482,4.12220073615,2025-02-01 05:40:07.000,"H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.439....1T,BGEM J083105.29+040720.5,31564575,BGEM J043133.17-122746.1,60331.31592223569
AT,2025bde,60.523758,-20.813314,2025-01-31 01:30:33.000,"S. Faris, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.556....1F,BGEM J040205.70-204847.9,37701085,BGEM J063939.71-275841.6,60354.32547775103
SN,2025aov,185.727601468,12.5655348783,2025-01-30 07:30:26.000,"E. A. Zimmerman (WIS), H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.438....1Z,BGEM J122254.63+123356.2,29510809,BGEM J224535.10-650743.2,60325.09165762663
AT,2025aln,111.056879,-0.988217,2025-01-30 04:51:56.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.413....1P,BGEM J072413.65-005917.5,39044952,BGEM J102906.04-574507.1,60356.27080407583
AT,2025ajq,201.3819,-42.97685,2025-01-29 06:15:21.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.398....1P,BGEM J132531.65-425836.6,34257527,BGEM J033809.28-253554.1,60342.19566625271
AT,2025ajg,201.488329436,-12.1579637035,2025-01-28 07:57:06.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.383....1S,BGEM J132557.18-120928.8,45225642,BGEM J142713.88-251927.9,60374.11976551713
AT,2025aik,150.465375,-0.681914,2025-01-28 07:38:05.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.384....1P,BGEM J100151.68-004054.8,30631059,BGEM J015428.05-074526.5,60328.33389097654
AT,2025ajm,136.098938089,-2.64300178253,2025-01-28 06:24:31.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.398....1P,BGEM J090423.73-023834.3,29046703,BGEM J091848.80-171119.2,60323.07812348458
AT,2025ahd,219.794371,-22.647103,2025-01-27 08:30:43.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.365....1S,BGEM J143910.64-223849.5,43122546,BGEM J102432.84-042643.1,60365.3330921173
AT,2025agy,225.216877209,-25.2078084915,2025-01-27 08:11:04.000,"J. A. Paice, H. Tranin, F. Stoppa, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.366....1P,BGEM J150052.05-251228.0,29095049,BGEM J115850.28-013213.0,60323.079998552894
AT,2025ahc,225.041,-24.566425,2025-01-27 08:11:04.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.365....1S,BGEM J150009.83-243359.1,30102491,BGEM J031736.92-014843.8,60327.11396852169
AT,2025ahb,222.848996,-24.774239,2025-01-27 08:07:09.000,"F. Stoppa, H. Tranin, D. Pieterse, G. Ramsay, S. Faris, P. Groot, P. Vreeswijk, N. Blagorodnova, J. van Roestel, H. Wichern, S. Scaringi",2025TNSTR.365....1S,BGEM J145123.75-244627.2,44964147,BGEM J111915.43+124830.8,60372.21131361452
